direccion|precio_uf|metros_cuadrados|dormitorios|banios|latitude|longitude|url
San Diego, Parque O'Higgins, Santiago, RM (Metropolitana)|1450|21|1|1|-33.4609864|-70.6490517|https://www.portalinmobiliario.com/MLC-2193653242-departamento-san-diego-id-85452-_JM#position=38&search_layout=grid&type=item&tracking_id=319a118d-4a66-464a-abf2-7887ae2971a1
Romero, Impecable Est Y Bod, Barrio Yungay, Santiago, RM (Metropolitana)|4600|64|3|2|-33.4467623|-70.6692557|https://www.portalinmobiliario.com/MLC-1470723223-romero-impecable-est-y-bod-_JM#position=46&search_layout=grid&type=item&tracking_id=67659ac7-5865-4e7f-a9e2-d9047a6d9a6d
Quito 1 - 300, Santiago, Chile, Barrio San Borja, Santiago, RM (Metropolitana)|3500|80|2|2|-33.4423248|-70.6421157|https://www.portalinmobiliario.com/MLC-1470520051-metro-uc-calle-quito-_JM#position=34&search_layout=grid&type=item&tracking_id=5591f879-676e-4656-aacd-4c634b94f5b8
Departamento Venta 1 Dormitorio/ Amoblado En Santiago, Bulnes, Santiago, RM (Metropolitana)|1900|27|1|1|-33.4497224|-70.6531208|https://www.portalinmobiliario.com/MLC-1473407977-departamento-venta-1-dormitorio-amoblado-en-santiago-_JM#position=47&search_layout=grid&type=item&tracking_id=028e1403-868e-4d2f-ba9a-cb1e2d4c4752
Serrano Con Santa Isabel, San Diego, Santiago, RM (Metropolitana)|2557|45|2|2|-33.4524724|-70.6479555|https://www.portalinmobiliario.com/MLC-1445613305-oportunidad-2-dorm-con-buena-ubicacion-y-conectividad-_JM#position=37&search_layout=grid&type=item&tracking_id=13777f65-dacc-4b37-b57f-c538378a588b
Marín 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|3080|74|3|2|-33.4473336|-70.6390135|https://www.portalinmobiliario.com/MLC-1476447429-se-vende-3-dormitorios-2-banos-centrica-ubicacion-santiago-_JM#position=31&search_layout=grid&type=item&tracking_id=5ef4a849-834b-426c-ba16-8715400ccaab
Morandé, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3494|70|3|2|-33.4363182|-70.6542768|https://www.portalinmobiliario.com/MLC-2117622446-departamento-morande-id-61908-_JM#position=10&search_layout=grid&type=item&tracking_id=9edf42cc-b6d9-4871-ad16-be4d2119ff26
Catedral / Teatinos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2400|34|1|1|-33.4381951|-70.6570441|https://www.portalinmobiliario.com/MLC-2100926930-departamento-en-venta-en-santiago-_JM#position=35&search_layout=grid&type=item&tracking_id=66bc2cea-04f4-46ec-af43-44861db2ec3d
Catedral 1394, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|3763|69|3|2|-33.4379328|-70.6567987|https://www.portalinmobiliario.com/MLC-2117180798-departamento-en-venta-pleno-centro-de-santiago-_JM#position=47&search_layout=grid&type=item&tracking_id=0ca39672-0ea5-4efa-9c9d-25851a13f3de
Santo Domingo/ Teatinos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2400|37|1|1|-33.4368148|-70.6548582|https://www.portalinmobiliario.com/MLC-1441003675-venta-departamento-santiago-plaza-de-armas-1-dormitorio-_JM#position=41&search_layout=grid&type=item&tracking_id=82a0818c-1951-4b03-b9db-83a3ee71356a
Moneda 2264, Santiago, Chile, Barrio Brasil, Santiago, RM (Metropolitana)|4031|70|3|2|-33.4437778|-70.6673814|https://www.portalinmobiliario.com/MLC-2322809734-depto-amplio-a-pocas-cuadras-de-metro-republica-y-cumming-_JM#position=4&search_layout=grid&type=item&tracking_id=3c68a156-359e-45e6-8ef2-690f1500b577
Curicó / Diagonal Paraguay  2 Dor, Santa Isabel, Santiago, RM (Metropolitana)|3650|42|2|1|-33.4445103|-70.6403147|https://www.portalinmobiliario.com/MLC-2117686894-departamento-curico-diagonal-paraguay-2-dor-id-83045-_JM#position=17&search_layout=grid&type=item&tracking_id=52c66a21-3a5f-4481-aa8b-cc047b745c78
Angamos, Santa Isabel, Santiago, RM (Metropolitana)|2015|38|1|1|-33.4462232|-70.6388685|https://www.portalinmobiliario.com/MLC-1459706601-departamento-angamos-id-120881-_JM#position=1&search_layout=grid&type=item&tracking_id=b61a227c-11e1-43a5-8f75-1d77877e37d2
Avenida Ricardo Cumming 1350, Santiago, Chile, Parque Los Reyes, Santiago, RM (Metropolitana)|1639|34|1|1|-33.429434|-70.6696358|https://www.portalinmobiliario.com/MLC-2276054384-depto-piso-9-vista-despejada-con-bodega-_JM#position=39&search_layout=grid&type=item&tracking_id=a98e79ca-dc2b-4ac9-bc8f-48ab6449071e
Padre Alonso De Ovalle 884, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)|2790|35|1|1|-33.4459559|-70.6488099|https://www.portalinmobiliario.com/MLC-2380365102-se-vende-espectacular-depto-con-estacionamiento-_JM#position=13&search_layout=grid&type=item&tracking_id=d58f037f-94af-43e1-a616-1ad8477c5a2a
